,summary
101,We found no significant difference in space - versus ground - reared wasp samples. both wasp species raised on either fly host showed equal success in flight and ground conditions. an ex vivo assay was used to detect changes in g0 versus s0 l. heterotoma virulence. lamellocytes from laboratory-reared hop tum - l larvae were exposed to venom fluid from g0 or s0 wasps.
102,"We obtained two recessive mutations in lh14. in the aurum 1 mutant, melanization of the wings is affected, making the normal wings appear golden. In rare cases, this kona 1 mutation was incompletely penetrant, where only one wing was affected. to our knowledge, these are the only live mutant animals in this class of wasps."
103,"The aurum and kona loci appear to be unlinked, as f2 males from unmated heterozygous females were scored in roughly equal proportions. The ovipositors of kona 1 homozygotes showed structural defects, including branched termini instead of the sharp, needle - like ends of the wild - type lh Ovipositor."
104,"Kona 1 / kona 1 females are sterile due to their inability to oviposit. ovaries and eggs are morphologically indistinguishable from wild - type or heterozygous females. thus, it appears that oogenesis is likely unaffected in kona1 mutants, and they are sterile."
105," american scientists first launched fruit flies into space in 1947. Since then more than 20 spaceflight experiments with fruit flies have been conducted. Despite suffering from cardiac and neurological deficits, drosophila born in space can largely survive the dual challenges of short - term exposure to microgravity and radiation."
106,"Cuticle - related degs were upregulated in one of the two s0 genetic strains, but not in the other s0 strain. Other degS were downregulated in s0 flies of both genetic backgrounds. This result suggests that transcriptional co - regulation of promoters among top deg family members may be adaptive to either or both genetic and environmental variables."
107,"The highly inflamed state of hop tum - l animals provided physiological insights into the modest changes in wasp virulence due to spaceflight. We hypothesized that stress from spaceflight could compromise the development of either of the two partners : the fly or the parasite. because of the complete dependence of the parasite on the host, either situation would be detrimental to parasite development."
108," parasites have varied life histories and distinct survival strategies in the context of host physiology. lb17 was less successful on d. melanogaster than lh14. 8 global gene expression changes in space - raised parasites were remarkably mild, and less than 1. 5 % of the adult parasite transcripts were affected."
109,"Only one of the two predicted rhogap superfamily genes shares structural similarity with the known lbgap virulence protein, 49 and even its expression was weakly downregulated in space. transcript levels of only 29 / 312 lb17 ev genes were significantly affected with all but one gene being downregulated. in an ex vivo assay, lh14 venom from s0 wasps was no different in its ability to distort lamellocytes than lh13 venom from g0 wasPS."
110,"Chronic exposure to radiation levels likely resulted in dna damage in the germline of the parasites reared in space. Future model organism studies can help assess the hazardous effects of radiation on soma versus germline genomes. The isolation of mutant wasp lines will advance our understanding of wasp genomics, genetics, and host - parasite biology."
111," availability of fresh fly media for culturing naive g0 / s0 adult flies, born in space or on ground, would have ensured sufficient numbers of larval hosts for these infection experiments. This is a strong consideration for designing future experiments. It would have been a good idea to have a large number of flies to culture."
112,"Plant signaling ( ps ) and plant rna regulation ( prr ) were two separate spaceflight experiments conducted on the international space station. genes involved in transcriptional regulation, shoot development, and response to auxin and light were upregulated in microgravity in both experiments. However genes involved with defense response, abiotic stress, ca + + signaling, and cell wall modification were commonly downregulated in both datasets."
113,"1 g control. 1 g control, 1g control, and 1 g Control. 1g Control, 1G Control, and 2G Control. 2 g Control, 2g Control. 3g Control,. 3g control. 4 g Control,. 5g control,. 6g control; 7g Control; 8g Control.; 9g Control%; 10g Control"
114," understanding how plants adapt to the space environment is essential, as plants will be a valuable component of long duration space missions. several spaceflight experiments have focused on transcriptional profiling as a means of understanding plant adaptation to microgravity. differences in experimental conditions and hardware make it difficult to find a consistent response across experiments."
